request_id,forecast_time,power_output_w,power_output_f0_w,power_output_f10_w,power_output_f25_w,power_output_f50_w,power_output_f75_w,power_output_f90_w,power_output_f100_w,system_temperature_c,nominal_output_efficiency,air_temperature_c,cloud_cover_total,cloud_cover_high,cloud_cover_medium,cloud_cover_low,system_radiation_global_wm2,system_radiation_direct_wm2,system_radiation_diffuse_wm2,radiation_global_wm2,radiation_direct_wm2,radiation_diffuse_wm2
4405,2020-10-12 16:00:00+03,2305.8,867.8,1269.4,1703.3,2201.7,2904.5,3476.5,3903.2,14.57,0.902,11.4,100,99.8,100,54.4,128.49,6.92,121.28,128.61,22.57,122.2
4405,2020-10-12 17:00:00+03,343.3,260.7,361.1,674.9,863,1166.4,1381,1705.2,11.51,0.586,10.8,100,100,100,15.8,29.3,0.02,29.22,29.75,0.13,29.73
4405,2020-10-12 18:00:00+03,45.6,20.2,39.1,63.4,110.2,170,197,232.6,10.5,0.229,10.25,100,100,44.8,5.1,9.97,0,9.95,10.13,0.18,10.12
4405,2020-10-12 19:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.2,NaN,10.2,18,0,0,18,NaN,NaN,NaN,0.59,0,0.59
4405,2020-10-12 20:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.25,NaN,10.25,98.5,0,0,98.5,NaN,NaN,NaN,0.06,0.02,0.06
4405,2020-10-12 21:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.3,NaN,10.3,92.7,26.3,8.1,90.5,NaN,NaN,NaN,0,0,0
4405,2020-10-12 22:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.25,NaN,10.25,100,5.6,100,100,NaN,NaN,NaN,0,0,0
4405,2020-10-12 23:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.3,NaN,9.3,99.9,43.7,99.3,57.2,NaN,NaN,NaN,0,0,0
4405,2020-10-13 00:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.45,NaN,8.45,100,71.5,100,70.9,NaN,NaN,NaN,0,0,0
4405,2020-10-13 01:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.55,NaN,8.55,100,2.1,100,100,NaN,NaN,NaN,0,0,0
4405,2020-10-13 02:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.75,NaN,8.75,100,40.8,100,23.2,NaN,NaN,NaN,0,0,0
4405,2020-10-13 03:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.05,NaN,9.05,74.6,26.7,21.6,52.9,NaN,NaN,NaN,0,0,0
4405,2020-10-13 04:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.2,NaN,9.2,100,100,100,53.4,NaN,NaN,NaN,0,0,0
4405,2020-10-13 05:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.1,NaN,9.1,90,0.8,49.7,83.3,NaN,NaN,NaN,0,0,0
4405,2020-10-13 06:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.05,NaN,9.05,100,93.6,100,100,NaN,NaN,NaN,0,0,0
4405,2020-10-13 07:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.05,NaN,9.05,100,87.7,98.5,100,NaN,NaN,NaN,0,0,0
4405,2020-10-13 08:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.85,NaN,8.85,100,0,100,99.7,NaN,NaN,NaN,0,0,0
4405,2020-10-13 09:00:00+03,40.5,6.4,15.5,27,45.5,106.9,132.6,152,9.02,0.213,8.75,99.9,1,99.4,89.1,9.54,0.31,9.21,9.43,1.05,9.37
